,Area,Study Year,Level,Mode,Country,Academic Year,Female,Male,Not known,Other,Total
12717,"Historical, philosophical and religious studies",Other years,All postgraduate,All,England,2018/19,3105.0,3090.0,,10.0,6205.0
12718,"Historical, philosophical and religious studies",Other years,All postgraduate,All,England,2019/20,3560.0,3555.0,,25.0,7135.0
12719,"Historical, philosophical and religious studies",Other years,All postgraduate,All,England,2020/21,3800.0,3545.0,0.0,30.0,7375.0
12720,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Northern Ireland,2017/18,35.0,60.0,,0.0,95.0
12721,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Northern Ireland,2018/19,40.0,50.0,,0.0,90.0
12722,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Northern Ireland,2019/20,40.0,40.0,,0.0,75.0
12723,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Northern Ireland,2020/21,45.0,60.0,0.0,0.0,100.0
12724,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Scotland,2017/18,435.0,485.0,,0.0,920.0
12725,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Scotland,2018/19,500.0,495.0,,5.0,1005.0
12726,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Scotland,2019/20,590.0,535.0,,10.0,1130.0
12727,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Scotland,2020/21,595.0,515.0,0.0,10.0,1115.0
12728,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Wales,2017/18,165.0,200.0,,0.0,365.0
12729,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Wales,2018/19,190.0,185.0,,0.0,375.0
12730,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Wales,2019/20,190.0,195.0,,0.0,390.0
12731,"Historical, philosophical and religious studies",Other years,All postgraduate,All,Wales,2020/21,185.0,230.0,0.0,0.0,420.0
12732,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,All,2017/18,1760.0,1840.0,,5.0,3605.0
12733,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,All,2018/19,1775.0,1780.0,,10.0,3565.0
12734,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,All,2019/20,1900.0,1890.0,,20.0,3805.0
12735,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,All,2020/21,2065.0,1900.0,0.0,30.0,3990.0
12736,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,England,2017/18,1480.0,1485.0,,5.0,2965.0
12737,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,England,2018/19,1460.0,1420.0,,10.0,2890.0
12738,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,England,2019/20,1555.0,1510.0,,15.0,3075.0
12739,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,England,2020/21,1670.0,1505.0,0.0,25.0,3200.0
12740,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Northern Ireland,2017/18,25.0,30.0,,0.0,50.0
12741,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Northern Ireland,2018/19,20.0,20.0,,0.0,40.0
12742,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Northern Ireland,2019/20,20.0,15.0,,0.0,35.0
12743,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Northern Ireland,2020/21,25.0,20.0,0.0,0.0,45.0
12744,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Scotland,2017/18,215.0,285.0,,0.0,500.0
12745,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Scotland,2018/19,240.0,300.0,,0.0,540.0
12746,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Scotland,2019/20,265.0,305.0,,5.0,575.0
12747,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Scotland,2020/21,300.0,290.0,0.0,5.0,595.0
12748,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Wales,2017/18,45.0,45.0,,0.0,90.0
12749,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Wales,2018/19,55.0,35.0,,0.0,90.0
12750,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Wales,2019/20,60.0,60.0,,0.0,120.0
12751,"Historical, philosophical and religious studies",Other years,All postgraduate,Full-time,Wales,2020/21,70.0,80.0,0.0,0.0,155.0
12752,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,All,2017/18,2200.0,2155.0,,15.0,4370.0
12753,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,All,2018/19,2065.0,2040.0,,10.0,4110.0
12754,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,All,2019/20,2480.0,2435.0,,15.0,4930.0
12755,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,All,2020/21,2560.0,2450.0,0.0,15.0,5020.0
12756,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,England,2017/18,1845.0,1770.0,,15.0,3630.0
12757,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,England,2018/19,1645.0,1670.0,,5.0,3315.0
12758,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,England,2019/20,2005.0,2045.0,,10.0,4060.0
12759,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,England,2020/21,2130.0,2040.0,0.0,10.0,4175.0
12760,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Northern Ireland,2017/18,15.0,30.0,,0.0,45.0
12761,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Northern Ireland,2018/19,20.0,30.0,,0.0,50.0
12762,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Northern Ireland,2019/20,20.0,25.0,,0.0,45.0
12763,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Northern Ireland,2020/21,20.0,40.0,0.0,0.0,60.0
12764,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Scotland,2017/18,225.0,195.0,,0.0,420.0
12765,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Scotland,2018/19,265.0,195.0,,5.0,460.0
12766,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Scotland,2019/20,325.0,225.0,,5.0,555.0
12767,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Scotland,2020/21,295.0,225.0,0.0,5.0,520.0
12768,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Wales,2017/18,120.0,155.0,,0.0,275.0
12769,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Wales,2018/19,135.0,145.0,,0.0,285.0
12770,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Wales,2019/20,130.0,135.0,,0.0,270.0
12771,"Historical, philosophical and religious studies",Other years,All postgraduate,Part-time,Wales,2020/21,115.0,150.0,0.0,0.0,265.0
12772,"Historical, philosophical and religious studies",Other years,All undergraduate,All,All,2017/18,24845.0,19865.0,,30.0,44740.0
12773,"Historical, philosophical and religious studies",Other years,All undergraduate,All,All,2018/19,24540.0,19365.0,,45.0,43945.0
12774,"Historical, philosophical and religious studies",Other years,All undergraduate,All,All,2019/20,24920.0,20185.0,,70.0,45175.0
12775,"Historical, philosophical and religious studies",Other years,All undergraduate,All,All,2020/21,24245.0,19775.0,0.0,105.0,44125.0
12776,"Historical, philosophical and religious studies",Other years,All undergraduate,All,England,2017/18,19395.0,15745.0,,25.0,35160.0
12777,"Historical, philosophical and religious studies",Other years,All undergraduate,All,England,2018/19,19150.0,15430.0,,35.0,34615.0
12778,"Historical, philosophical and religious studies",Other years,All undergraduate,All,England,2019/20,19595.0,16325.0,,60.0,35975.0
12779,"Historical, philosophical and religious studies",Other years,All undergraduate,All,England,2020/21,19110.0,15920.0,0.0,75.0,35105.0
12780,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Northern Ireland,2017/18,330.0,350.0,,0.0,680.0
12781,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Northern Ireland,2018/19,325.0,325.0,,0.0,650.0
12782,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Northern Ireland,2019/20,310.0,305.0,,0.0,615.0
12783,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Northern Ireland,2020/21,270.0,280.0,0.0,0.0,550.0
12784,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Scotland,2017/18,3885.0,2545.0,,5.0,6440.0
12785,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Scotland,2018/19,3890.0,2455.0,,5.0,6350.0
12786,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Scotland,2019/20,3970.0,2475.0,,10.0,6450.0
12787,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Scotland,2020/21,3890.0,2525.0,0.0,25.0,6435.0
12788,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Wales,2017/18,1235.0,1230.0,,0.0,2465.0
12789,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Wales,2018/19,1180.0,1150.0,,5.0,2330.0
12790,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Wales,2019/20,1050.0,1085.0,,5.0,2140.0
12791,"Historical, philosophical and religious studies",Other years,All undergraduate,All,Wales,2020/21,975.0,1055.0,0.0,5.0,2035.0
12792,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,All,2017/18,21235.0,17310.0,,30.0,38575.0
12793,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,All,2018/19,21045.0,16890.0,,40.0,37980.0
12794,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,All,2019/20,22205.0,17840.0,,65.0,40110.0
12795,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,All,2020/21,21465.0,17285.0,0.0,100.0,38855.0
12796,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,England,2017/18,16540.0,13765.0,,20.0,30325.0
12797,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,England,2018/19,16435.0,13540.0,,35.0,30005.0
12798,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,England,2019/20,17380.0,14490.0,,50.0,31925.0
12799,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,England,2020/21,16895.0,13990.0,0.0,75.0,30960.0
12800,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Northern Ireland,2017/18,265.0,290.0,,0.0,560.0
12801,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Northern Ireland,2018/19,265.0,265.0,,0.0,530.0
12802,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Northern Ireland,2019/20,260.0,220.0,,0.0,480.0
12803,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Northern Ireland,2020/21,225.0,215.0,0.0,0.0,435.0
12804,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Scotland,2017/18,3455.0,2175.0,,5.0,5635.0
12805,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Scotland,2018/19,3410.0,2080.0,,5.0,5490.0
12806,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Scotland,2019/20,3650.0,2175.0,,10.0,5830.0
12807,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Scotland,2020/21,3535.0,2185.0,0.0,20.0,5740.0
12808,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Wales,2017/18,975.0,1080.0,,0.0,2055.0
12809,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Wales,2018/19,935.0,1010.0,,5.0,1955.0
12810,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Wales,2019/20,915.0,960.0,,5.0,1875.0
12811,"Historical, philosophical and religious studies",Other years,All undergraduate,Full-time,Wales,2020/21,815.0,895.0,0.0,5.0,1715.0
12812,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,All,2017/18,3610.0,2555.0,,0.0,6165.0
12813,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,All,2018/19,3490.0,2470.0,,0.0,5965.0
12814,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,All,2019/20,2720.0,2345.0,,5.0,5070.0
12815,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,All,2020/21,2780.0,2490.0,0.0,5.0,5275.0
12816,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,England,2017/18,2855.0,1980.0,,0.0,4835.0
12817,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,England,2018/19,2715.0,1895.0,,0.0,4610.0
12818,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,England,2019/20,2210.0,1835.0,,5.0,4050.0
12819,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,England,2020/21,2210.0,1930.0,0.0,5.0,4145.0
12820,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Northern Ireland,2017/18,65.0,55.0,,0.0,120.0
12821,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Northern Ireland,2018/19,55.0,65.0,,0.0,120.0
12822,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Northern Ireland,2019/20,50.0,85.0,,0.0,135.0
12823,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Northern Ireland,2020/21,50.0,65.0,0.0,0.0,115.0
12824,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Scotland,2017/18,430.0,370.0,,0.0,800.0
12825,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Scotland,2018/19,480.0,380.0,,0.0,860.0
12826,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Scotland,2019/20,320.0,300.0,,0.0,620.0
12827,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Scotland,2020/21,355.0,335.0,0.0,0.0,695.0
12828,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Wales,2017/18,260.0,150.0,,0.0,405.0
12829,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Wales,2018/19,240.0,140.0,,0.0,380.0
12830,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Wales,2019/20,135.0,125.0,,0.0,265.0
12831,"Historical, philosophical and religious studies",Other years,All undergraduate,Part-time,Wales,2020/21,165.0,160.0,0.0,0.0,320.0
12832,"Historical, philosophical and religious studies",Other years,First degree,All,All,2017/18,24480.0,19590.0,,30.0,44105.0
12833,"Historical, philosophical and religious studies",Other years,First degree,All,All,2018/19,24170.0,19085.0,,45.0,43295.0
12834,"Historical, philosophical and religious studies",Other years,First degree,All,All,2019/20,24390.0,19765.0,,70.0,44225.0
12835,"Historical, philosophical and religious studies",Other years,First degree,All,All,2020/21,23785.0,19400.0,0.0,105.0,43290.0
12836,"Historical, philosophical and religious studies",Other years,First degree,All,England,2017/18,19085.0,15510.0,,25.0,34620.0
12837,"Historical, philosophical and religious studies",Other years,First degree,All,England,2018/19,18845.0,15200.0,,35.0,34080.0
12838,"Historical, philosophical and religious studies",Other years,First degree,All,England,2019/20,19100.0,15940.0,,55.0,35095.0
12839,"Historical, philosophical and religious studies",Other years,First degree,All,England,2020/21,18680.0,15585.0,0.0,75.0,34340.0
12840,"Historical, philosophical and religious studies",Other years,First degree,All,Northern Ireland,2017/18,320.0,345.0,,0.0,665.0
12841,"Historical, philosophical and religious studies",Other years,First degree,All,Northern Ireland,2018/19,320.0,320.0,,0.0,640.0
12842,"Historical, philosophical and religious studies",Other years,First degree,All,Northern Ireland,2019/20,310.0,300.0,,0.0,610.0
12843,"Historical, philosophical and religious studies",Other years,First degree,All,Northern Ireland,2020/21,270.0,280.0,0.0,0.0,550.0
12844,"Historical, philosophical and religious studies",Other years,First degree,All,Scotland,2017/18,3860.0,2515.0,,5.0,6385.0
12845,"Historical, philosophical and religious studies",Other years,First degree,All,Scotland,2018/19,3845.0,2425.0,,5.0,6270.0
12846,"Historical, philosophical and religious studies",Other years,First degree,All,Scotland,2019/20,3945.0,2450.0,,10.0,6400.0
12847,"Historical, philosophical and religious studies",Other years,First degree,All,Scotland,2020/21,3865.0,2495.0,0.0,25.0,6390.0
12848,"Historical, philosophical and religious studies",Other years,First degree,All,Wales,2017/18,1215.0,1220.0,,0.0,2435.0
12849,"Historical, philosophical and religious studies",Other years,First degree,All,Wales,2018/19,1160.0,1140.0,,5.0,2305.0
12850,"Historical, philosophical and religious studies",Other years,First degree,All,Wales,2019/20,1040.0,1080.0,,5.0,2120.0
12851,"Historical, philosophical and religious studies",Other years,First degree,All,Wales,2020/21,965.0,1040.0,0.0,5.0,2010.0
12852,"Historical, philosophical and religious studies",Other years,First degree,Full-time,All,2017/18,21195.0,17265.0,,30.0,38490.0
12853,"Historical, philosophical and religious studies",Other years,First degree,Full-time,All,2018/19,20995.0,16845.0,,40.0,37885.0
12854,"Historical, philosophical and religious studies",Other years,First degree,Full-time,All,2019/20,22110.0,17760.0,,65.0,39930.0
12855,"Historical, philosophical and religious studies",Other years,First degree,Full-time,All,2020/21,21365.0,17205.0,0.0,100.0,38675.0
12856,"Historical, philosophical and religious studies",Other years,First degree,Full-time,England,2017/18,16510.0,13725.0,,20.0,30260.0
12857,"Historical, philosophical and religious studies",Other years,First degree,Full-time,England,2018/19,16395.0,13500.0,,35.0,29930.0
12858,"Historical, philosophical and religious studies",Other years,First degree,Full-time,England,2019/20,17295.0,14410.0,,50.0,31760.0
12859,"Historical, philosophical and religious studies",Other years,First degree,Full-time,England,2020/21,16800.0,13915.0,0.0,75.0,30790.0
12860,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Northern Ireland,2017/18,265.0,290.0,,0.0,555.0
12861,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Northern Ireland,2018/19,265.0,260.0,,0.0,530.0
12862,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Northern Ireland,2019/20,260.0,220.0,,0.0,475.0
12863,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Northern Ireland,2020/21,225.0,215.0,0.0,0.0,435.0
12864,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Scotland,2017/18,3450.0,2170.0,,5.0,5630.0
12865,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Scotland,2018/19,3400.0,2075.0,,5.0,5480.0
12866,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Scotland,2019/20,3645.0,2170.0,,10.0,5825.0
12867,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Scotland,2020/21,3530.0,2180.0,0.0,20.0,5730.0
12868,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Wales,2017/18,970.0,1075.0,,0.0,2045.0
12869,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Wales,2018/19,930.0,1010.0,,5.0,1945.0
12870,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Wales,2019/20,910.0,960.0,,5.0,1875.0
12871,"Historical, philosophical and religious studies",Other years,First degree,Full-time,Wales,2020/21,815.0,895.0,0.0,5.0,1715.0
12872,"Historical, philosophical and religious studies",Other years,First degree,Part-time,All,2017/18,3285.0,2325.0,,0.0,5615.0
12873,"Historical, philosophical and religious studies",Other years,First degree,Part-time,All,2018/19,3175.0,2240.0,,0.0,5415.0
12874,"Historical, philosophical and religious studies",Other years,First degree,Part-time,All,2019/20,2285.0,2005.0,,5.0,4295.0
12875,"Historical, philosophical and religious studies",Other years,First degree,Part-time,All,2020/21,2420.0,2195.0,0.0,5.0,4615.0
12876,"Historical, philosophical and religious studies",Other years,First degree,Part-time,England,2017/18,2575.0,1785.0,,0.0,4360.0
12877,"Historical, philosophical and religious studies",Other years,First degree,Part-time,England,2018/19,2450.0,1705.0,,0.0,4155.0
12878,"Historical, philosophical and religious studies",Other years,First degree,Part-time,England,2019/20,1805.0,1530.0,,5.0,3340.0
12879,"Historical, philosophical and religious studies",Other years,First degree,Part-time,England,2020/21,1880.0,1670.0,0.0,0.0,3550.0
12880,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Northern Ireland,2017/18,55.0,55.0,,0.0,110.0
12881,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Northern Ireland,2018/19,55.0,60.0,,0.0,110.0
12882,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Northern Ireland,2019/20,50.0,80.0,,0.0,130.0
12883,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Northern Ireland,2020/21,50.0,65.0,0.0,0.0,115.0
12884,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Scotland,2017/18,410.0,345.0,,0.0,755.0
12885,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Scotland,2018/19,445.0,345.0,,0.0,790.0
12886,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Scotland,2019/20,300.0,275.0,,0.0,575.0
12887,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Scotland,2020/21,340.0,315.0,0.0,0.0,655.0
12888,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Wales,2017/18,250.0,140.0,,0.0,390.0
12889,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Wales,2018/19,230.0,130.0,,0.0,360.0
12890,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Wales,2019/20,130.0,120.0,,0.0,250.0
12891,"Historical, philosophical and religious studies",Other years,First degree,Part-time,Wales,2020/21,150.0,145.0,0.0,0.0,295.0
12892,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,All,2017/18,360.0,275.0,,0.0,635.0
12893,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,All,2018/19,370.0,280.0,,0.0,650.0
12894,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,All,2019/20,530.0,420.0,,0.0,950.0
12895,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,All,2020/21,460.0,380.0,0.0,0.0,840.0
12896,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,England,2017/18,310.0,235.0,,0.0,540.0
12897,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,England,2018/19,305.0,230.0,,0.0,535.0
12898,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,England,2019/20,495.0,385.0,,0.0,880.0
12899,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,England,2020/21,430.0,335.0,0.0,0.0,765.0
12900,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Northern Ireland,2017/18,10.0,0.0,,0.0,15.0
12901,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Northern Ireland,2018/19,5.0,5.0,,0.0,10.0
12902,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Northern Ireland,2019/20,0.0,5.0,,0.0,5.0
12903,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Northern Ireland,2020/21,0.0,0.0,0.0,0.0,5.0
12904,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Scotland,2017/18,25.0,30.0,,0.0,55.0
12905,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Scotland,2018/19,45.0,35.0,,0.0,80.0
12906,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Scotland,2019/20,25.0,25.0,,0.0,50.0
12907,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Scotland,2020/21,20.0,25.0,0.0,0.0,45.0
12908,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Wales,2017/18,15.0,10.0,,0.0,25.0
12909,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Wales,2018/19,15.0,10.0,,0.0,25.0
12910,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Wales,2019/20,10.0,5.0,,0.0,15.0
12911,"Historical, philosophical and religious studies",Other years,Other undergraduate,All,Wales,2020/21,10.0,15.0,0.0,0.0,25.0
12912,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,All,2017/18,40.0,45.0,,0.0,85.0
12913,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,All,2018/19,50.0,45.0,,0.0,95.0
12914,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,All,2019/20,95.0,80.0,,0.0,175.0
12915,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,All,2020/21,100.0,80.0,0.0,0.0,180.0
12916,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,England,2017/18,30.0,40.0,,0.0,70.0
12917,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,England,2018/19,40.0,40.0,,0.0,80.0
12918,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,England,2019/20,85.0,80.0,,0.0,165.0
12919,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,England,2020/21,95.0,75.0,0.0,0.0,170.0
12920,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Northern Ireland,2017/18,0.0,0.0,,0.0,0.0
12921,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Northern Ireland,2018/19,0.0,0.0,,0.0,0.0
12922,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Northern Ireland,2019/20,0.0,0.0,,0.0,0.0
12923,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Northern Ireland,2020/21,,,,,
12924,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Scotland,2017/18,5.0,5.0,,0.0,5.0
12925,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Scotland,2018/19,10.0,5.0,,0.0,10.0
12926,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Scotland,2019/20,5.0,0.0,,0.0,10.0
12927,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Scotland,2020/21,5.0,5.0,0.0,0.0,10.0
12928,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Wales,2017/18,5.0,5.0,,0.0,10.0
12929,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Wales,2018/19,5.0,0.0,,0.0,5.0
12930,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Wales,2019/20,0.0,0.0,,0.0,0.0
12931,"Historical, philosophical and religious studies",Other years,Other undergraduate,Full-time,Wales,2020/21,,,,,
12932,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,All,2017/18,320.0,230.0,,0.0,550.0
12933,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,All,2018/19,320.0,235.0,,0.0,550.0
12934,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,All,2019/20,435.0,340.0,,0.0,775.0
12935,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,All,2020/21,360.0,300.0,0.0,0.0,660.0
12936,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,England,2017/18,280.0,195.0,,0.0,475.0
12937,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,England,2018/19,265.0,190.0,,0.0,455.0
12938,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,England,2019/20,405.0,305.0,,0.0,715.0
12939,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,England,2020/21,330.0,260.0,0.0,0.0,595.0
12940,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,Northern Ireland,2017/18,10.0,0.0,,0.0,10.0
12941,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,Northern Ireland,2018/19,5.0,5.0,,0.0,10.0
12942,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,Northern Ireland,2019/20,0.0,5.0,,0.0,5.0
12943,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,Northern Ireland,2020/21,0.0,0.0,0.0,0.0,5.0
12944,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,Scotland,2017/18,20.0,25.0,,0.0,45.0
12945,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,Scotland,2018/19,35.0,30.0,,0.0,70.0
12946,"Historical, philosophical and religious studies",Other years,Other undergraduate,Part-time,Scotland,2019/20,20.0,20.0,,0.0,40.0
