,Area,Study Year,Level,Mode,Country,Academic Year,Female,Male,Not known,Other,Total
150,"Agriculture, food and related studies",All,All undergraduate,Full-time,Northern Ireland,2019/20,145.0,70.0,,0.0,215.0
151,"Agriculture, food and related studies",All,All undergraduate,Full-time,Northern Ireland,2020/21,220.0,85.0,0.0,0.0,300.0
152,"Agriculture, food and related studies",All,All undergraduate,Full-time,Scotland,2017/18,795.0,350.0,,0.0,1145.0
153,"Agriculture, food and related studies",All,All undergraduate,Full-time,Scotland,2018/19,820.0,380.0,,0.0,1200.0
154,"Agriculture, food and related studies",All,All undergraduate,Full-time,Scotland,2019/20,965.0,560.0,,5.0,1530.0
155,"Agriculture, food and related studies",All,All undergraduate,Full-time,Scotland,2020/21,1130.0,625.0,0.0,5.0,1760.0
156,"Agriculture, food and related studies",All,All undergraduate,Full-time,Wales,2017/18,585.0,320.0,,0.0,905.0
157,"Agriculture, food and related studies",All,All undergraduate,Full-time,Wales,2018/19,650.0,295.0,,0.0,950.0
158,"Agriculture, food and related studies",All,All undergraduate,Full-time,Wales,2019/20,505.0,280.0,,5.0,790.0
159,"Agriculture, food and related studies",All,All undergraduate,Full-time,Wales,2020/21,555.0,265.0,0.0,5.0,825.0
160,"Agriculture, food and related studies",All,All undergraduate,Part-time,All,2017/18,1625.0,1720.0,,0.0,3340.0
161,"Agriculture, food and related studies",All,All undergraduate,Part-time,All,2018/19,1695.0,1645.0,,0.0,3340.0
162,"Agriculture, food and related studies",All,All undergraduate,Part-time,All,2019/20,1280.0,1425.0,,0.0,2705.0
163,"Agriculture, food and related studies",All,All undergraduate,Part-time,All,2020/21,1595.0,1255.0,0.0,10.0,2860.0
164,"Agriculture, food and related studies",All,All undergraduate,Part-time,England,2017/18,1440.0,1540.0,,0.0,2975.0
165,"Agriculture, food and related studies",All,All undergraduate,Part-time,England,2018/19,1480.0,1440.0,,0.0,2920.0
166,"Agriculture, food and related studies",All,All undergraduate,Part-time,England,2019/20,1065.0,1240.0,,0.0,2305.0
167,"Agriculture, food and related studies",All,All undergraduate,Part-time,England,2020/21,1380.0,1055.0,0.0,5.0,2440.0
168,"Agriculture, food and related studies",All,All undergraduate,Part-time,Northern Ireland,2017/18,5.0,10.0,,0.0,15.0
169,"Agriculture, food and related studies",All,All undergraduate,Part-time,Northern Ireland,2018/19,5.0,5.0,,0.0,15.0
170,"Agriculture, food and related studies",All,All undergraduate,Part-time,Northern Ireland,2019/20,,,,,
171,"Agriculture, food and related studies",All,All undergraduate,Part-time,Northern Ireland,2020/21,5.0,0.0,0.0,0.0,5.0
172,"Agriculture, food and related studies",All,All undergraduate,Part-time,Scotland,2017/18,115.0,140.0,,0.0,255.0
173,"Agriculture, food and related studies",All,All undergraduate,Part-time,Scotland,2018/19,150.0,165.0,,0.0,315.0
174,"Agriculture, food and related studies",All,All undergraduate,Part-time,Scotland,2019/20,145.0,155.0,,0.0,300.0
175,"Agriculture, food and related studies",All,All undergraduate,Part-time,Scotland,2020/21,150.0,175.0,0.0,5.0,330.0
176,"Agriculture, food and related studies",All,All undergraduate,Part-time,Wales,2017/18,65.0,30.0,,0.0,95.0
177,"Agriculture, food and related studies",All,All undergraduate,Part-time,Wales,2018/19,60.0,30.0,,0.0,90.0
178,"Agriculture, food and related studies",All,All undergraduate,Part-time,Wales,2019/20,70.0,30.0,,0.0,100.0
179,"Agriculture, food and related studies",All,All undergraduate,Part-time,Wales,2020/21,60.0,25.0,0.0,0.0,85.0
180,"Agriculture, food and related studies",All,First degree,All,All,2017/18,6650.0,2830.0,,0.0,9485.0
181,"Agriculture, food and related studies",All,First degree,All,All,2018/19,7525.0,2840.0,,10.0,10375.0
182,"Agriculture, food and related studies",All,First degree,All,All,2019/20,6290.0,2635.0,,5.0,8930.0
183,"Agriculture, food and related studies",All,First degree,All,All,2020/21,6665.0,2790.0,0.0,15.0,9470.0
184,"Agriculture, food and related studies",All,First degree,All,England,2017/18,5580.0,2260.0,,0.0,7845.0
185,"Agriculture, food and related studies",All,First degree,All,England,2018/19,6305.0,2250.0,,5.0,8560.0
186,"Agriculture, food and related studies",All,First degree,All,England,2019/20,5215.0,2035.0,,5.0,7255.0
187,"Agriculture, food and related studies",All,First degree,All,England,2020/21,5395.0,2165.0,0.0,10.0,7570.0
188,"Agriculture, food and related studies",All,First degree,All,Northern Ireland,2017/18,190.0,135.0,,0.0,325.0
189,"Agriculture, food and related studies",All,First degree,All,Northern Ireland,2018/19,240.0,120.0,,0.0,360.0
190,"Agriculture, food and related studies",All,First degree,All,Northern Ireland,2019/20,145.0,70.0,,0.0,215.0
191,"Agriculture, food and related studies",All,First degree,All,Northern Ireland,2020/21,220.0,85.0,0.0,0.0,305.0
192,"Agriculture, food and related studies",All,First degree,All,Scotland,2017/18,495.0,195.0,,0.0,690.0
193,"Agriculture, food and related studies",All,First degree,All,Scotland,2018/19,555.0,235.0,,0.0,790.0
194,"Agriculture, food and related studies",All,First degree,All,Scotland,2019/20,585.0,300.0,,0.0,885.0
195,"Agriculture, food and related studies",All,First degree,All,Scotland,2020/21,635.0,320.0,0.0,0.0,960.0
196,"Agriculture, food and related studies",All,First degree,All,Wales,2017/18,385.0,240.0,,0.0,630.0
197,"Agriculture, food and related studies",All,First degree,All,Wales,2018/19,430.0,230.0,,0.0,665.0
198,"Agriculture, food and related studies",All,First degree,All,Wales,2019/20,350.0,230.0,,0.0,575.0
199,"Agriculture, food and related studies",All,First degree,All,Wales,2020/21,410.0,220.0,0.0,5.0,635.0
200,"Agriculture, food and related studies",All,First degree,Full-time,All,2017/18,6400.0,2700.0,,0.0,9100.0
201,"Agriculture, food and related studies",All,First degree,Full-time,All,2018/19,7195.0,2670.0,,5.0,9870.0
202,"Agriculture, food and related studies",All,First degree,Full-time,All,2019/20,6010.0,2455.0,,5.0,8470.0
203,"Agriculture, food and related studies",All,First degree,Full-time,All,2020/21,6375.0,2610.0,0.0,15.0,9000.0
204,"Agriculture, food and related studies",All,First degree,Full-time,England,2017/18,5380.0,2160.0,,0.0,7545.0
205,"Agriculture, food and related studies",All,First degree,Full-time,England,2018/19,6050.0,2120.0,,5.0,8175.0
206,"Agriculture, food and related studies",All,First degree,Full-time,England,2019/20,4985.0,1880.0,,5.0,6870.0
207,"Agriculture, food and related studies",All,First degree,Full-time,England,2020/21,5160.0,2010.0,0.0,10.0,7180.0
208,"Agriculture, food and related studies",All,First degree,Full-time,Northern Ireland,2017/18,185.0,125.0,,0.0,310.0
209,"Agriculture, food and related studies",All,First degree,Full-time,Northern Ireland,2018/19,235.0,115.0,,0.0,345.0
210,"Agriculture, food and related studies",All,First degree,Full-time,Northern Ireland,2019/20,145.0,70.0,,0.0,215.0
211,"Agriculture, food and related studies",All,First degree,Full-time,Northern Ireland,2020/21,220.0,85.0,0.0,0.0,300.0
212,"Agriculture, food and related studies",All,First degree,Full-time,Scotland,2017/18,470.0,180.0,,0.0,650.0
213,"Agriculture, food and related studies",All,First degree,Full-time,Scotland,2018/19,505.0,215.0,,0.0,720.0
214,"Agriculture, food and related studies",All,First degree,Full-time,Scotland,2019/20,555.0,285.0,,0.0,840.0
215,"Agriculture, food and related studies",All,First degree,Full-time,Scotland,2020/21,600.0,305.0,0.0,0.0,905.0
216,"Agriculture, food and related studies",All,First degree,Full-time,Wales,2017/18,365.0,235.0,,0.0,600.0
217,"Agriculture, food and related studies",All,First degree,Full-time,Wales,2018/19,410.0,220.0,,0.0,630.0
218,"Agriculture, food and related studies",All,First degree,Full-time,Wales,2019/20,325.0,220.0,,0.0,545.0
219,"Agriculture, food and related studies",All,First degree,Full-time,Wales,2020/21,400.0,215.0,0.0,5.0,615.0
220,"Agriculture, food and related studies",All,First degree,Part-time,All,2017/18,250.0,130.0,,0.0,385.0
221,"Agriculture, food and related studies",All,First degree,Part-time,All,2018/19,330.0,170.0,,0.0,500.0
222,"Agriculture, food and related studies",All,First degree,Part-time,All,2019/20,280.0,180.0,,0.0,460.0
223,"Agriculture, food and related studies",All,First degree,Part-time,All,2020/21,290.0,180.0,0.0,0.0,470.0
224,"Agriculture, food and related studies",All,First degree,Part-time,England,2017/18,200.0,100.0,,0.0,300.0
225,"Agriculture, food and related studies",All,First degree,Part-time,England,2018/19,255.0,135.0,,0.0,385.0
226,"Agriculture, food and related studies",All,First degree,Part-time,England,2019/20,230.0,150.0,,0.0,385.0
227,"Agriculture, food and related studies",All,First degree,Part-time,England,2020/21,240.0,155.0,0.0,0.0,395.0
228,"Agriculture, food and related studies",All,First degree,Part-time,Northern Ireland,2017/18,5.0,10.0,,0.0,15.0
229,"Agriculture, food and related studies",All,First degree,Part-time,Northern Ireland,2018/19,5.0,5.0,,0.0,15.0
230,"Agriculture, food and related studies",All,First degree,Part-time,Northern Ireland,2019/20,,,,,
231,"Agriculture, food and related studies",All,First degree,Part-time,Northern Ireland,2020/21,5.0,0.0,0.0,0.0,5.0
232,"Agriculture, food and related studies",All,First degree,Part-time,Scotland,2017/18,30.0,10.0,,0.0,40.0
233,"Agriculture, food and related studies",All,First degree,Part-time,Scotland,2018/19,50.0,20.0,,0.0,70.0
234,"Agriculture, food and related studies",All,First degree,Part-time,Scotland,2019/20,30.0,20.0,,0.0,45.0
235,"Agriculture, food and related studies",All,First degree,Part-time,Scotland,2020/21,35.0,15.0,0.0,0.0,50.0
236,"Agriculture, food and related studies",All,First degree,Part-time,Wales,2017/18,20.0,10.0,,0.0,30.0
237,"Agriculture, food and related studies",All,First degree,Part-time,Wales,2018/19,20.0,10.0,,0.0,30.0
238,"Agriculture, food and related studies",All,First degree,Part-time,Wales,2019/20,20.0,10.0,,0.0,30.0
239,"Agriculture, food and related studies",All,First degree,Part-time,Wales,2020/21,10.0,5.0,0.0,0.0,20.0
240,"Agriculture, food and related studies",All,Other undergraduate,All,All,2017/18,3105.0,2445.0,,0.0,5550.0
241,"Agriculture, food and related studies",All,Other undergraduate,All,All,2018/19,3095.0,2250.0,,5.0,5345.0
242,"Agriculture, food and related studies",All,Other undergraduate,All,All,2019/20,2350.0,2075.0,,10.0,4435.0
243,"Agriculture, food and related studies",All,Other undergraduate,All,All,2020/21,2745.0,1940.0,0.0,15.0,4700.0
244,"Agriculture, food and related studies",All,Other undergraduate,All,England,2017/18,2430.0,2035.0,,0.0,4465.0
245,"Agriculture, food and related studies",All,Other undergraduate,All,England,2018/19,2400.0,1840.0,,0.0,4245.0
246,"Agriculture, food and related studies",All,Other undergraduate,All,England,2019/20,1600.0,1575.0,,5.0,3180.0
247,"Agriculture, food and related studies",All,Other undergraduate,All,England,2020/21,1895.0,1390.0,0.0,5.0,3290.0
248,"Agriculture, food and related studies",All,Other undergraduate,All,Northern Ireland,2017/18,0.0,0.0,,0.0,0.0
249,"Agriculture, food and related studies",All,Other undergraduate,All,Northern Ireland,2018/19,0.0,0.0,,0.0,0.0
250,"Agriculture, food and related studies",All,Other undergraduate,All,Scotland,2017/18,415.0,300.0,,0.0,710.0
251,"Agriculture, food and related studies",All,Other undergraduate,All,Scotland,2018/19,415.0,310.0,,0.0,725.0
252,"Agriculture, food and related studies",All,Other undergraduate,All,Scotland,2019/20,520.0,415.0,,5.0,940.0
253,"Agriculture, food and related studies",All,Other undergraduate,All,Scotland,2020/21,645.0,480.0,0.0,5.0,1135.0
254,"Agriculture, food and related studies",All,Other undergraduate,All,Wales,2017/18,265.0,110.0,,0.0,370.0
255,"Agriculture, food and related studies",All,Other undergraduate,All,Wales,2018/19,280.0,95.0,,0.0,375.0
